Orden,,,Orden Inverso,,,Orden Aleatorio,
,,,,,,,
selection sort ,,,selection sort ,,,selection sort ,
n,micro segundos,,n,micro segundos,,n,micro segundos
100,303.9,,100,565.9,,100,862.5
1000,13638.1,,1000,6394,,1000,5653.5
5000,41289.3,,5000,51967.5,,5000,58688.6
10000,175344.8,,10000,220263.3,,10000,228252.3
17770,986339.1,,17770,1046691.9,,17770,1104951.1
insertion sort ,,,insertion sort ,,,insertion sort ,
n,micro segundos,,n,micro segundos,,n,micro segundos
100,43.6,,100,40.9,,100,54.6
1000,297.3,,1000,258.7,,1000,342.9
5000,1133.1,,5000,1180.6,,5000,1407.1
10000,2183,,10000,1744,,10000,2035.2
17770,6048.6,,17770,3198.7,,17770,3222.3
quick sort ,,,quick sort ,,,quick sort ,
n,micro segundos,,n,micro segundos,,n,micro segundos
100,69.1,,100,83.2,,100,50.7
1000,323.6,,1000,550.2,,1000,322
5000,1550.8,,5000,2378.3,,5000,1564.8
10000,2590,,10000,4678.4,,10000,2913.8
17770,4821.4,,17770,7403.7,,17770,5332.4
merge sort ,,,merge sort ,,,merge sort ,
n,micro segundos,,n,micro segundos,,n,micro segundos
100,770.9,,100,140.7,,100,247
1000,802.7,,1000,348.4,,1000,503.7
5000,4880.9,,5000,1033.9,,5000,1836.7
10000,14688.5,,10000,2349.7,,10000,105301.7
17770,23628,,17770,24741.5,,17770,37634.7
